"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPINT2|SPINT2",601.596877684447,-0.318958930250761,0.345012126207255,-0.924486144174411,0.355233262216252,0.996139221459177
"TYROBP|TYROBP",6509.59349190735,0.32246022888031,0.429152120049461,0.75138910846612,0.452418515569472,0.996139221459177
"PSENEN|PSENEN",897.54354947324,0.0620266869564204,0.447907003168187,0.13848117247037,0.889860148439793,0.996139221459177
"SCN1B|SCN1B",6.50960987412058,0.416591144530698,2.50326714613271,0.166418971772265,0.867827244817224,0.996139221459177
"RHPN2|RHPN2",53.142398170998,-0.791956550838563,0.509912426856919,-1.55312267190693,0.120393830661679,0.996139221459177
"PMEL|PMEL",97.0343540439147,-0.812394549598199,1.3147568139786,-0.6179048025922,0.536638093021151,0.996139221459177
"NACA|NACA",16144.1830224093,0.40701641262927,0.397489468024839,1.02396779127701,0.305850488275366,0.996139221459177
"STAT6|STAT6",4151.96259284283,0.251719021839595,0.623629101660478,0.403635784746682,0.686480567066554,0.996139221459177
"IFNG|IFNG",2.98138582634273,4.81436931860499,3.1182985736919,1.54390902757751,0.122610372804165,0.996139221459177
"MDM2|MDM2",2082.14278838654,0.0905247043067578,0.35108187194829,0.25784499724922,0.796526535532599,0.996139221459177
"LYZ|LYZ",54701.9451147313,0.104447148200069,0.314299911563493,0.332316823382146,0.739650037841187,0.996139221459177
"ARSA|ARSA",477.031977297369,-0.787147682390668,0.576374974163653,-1.36568677974413,0.172037295556768,0.996139221459177
"SELENOO|SELENOO",564.77995758119,-0.325570275676353,0.358167165958185,-0.908989730550462,0.363355546624141,0.996139221459177
"MIR1249|MIR1249",9.5318282321853,0.390265329187132,1.54058378517816,0.253323014912817,0.800018612666981,0.996139221459177
"PRR5|PRR5",200.656016785412,-0.186518897882195,0.350138129364576,-0.532700903556792,0.594240640578301,0.996139221459177
"CYB5R3|CYB5R3",165.561034831177,-0.863523010355787,0.77739185077388,-1.11079503791577,0.26665658282997,0.996139221459177
"MIR8829|MIR8829",4.69714239514014,-3.33532247829258,2.57763884710864,-1.29394483716516,0.195684475545831,0.996139221459177
"CYP2D15|CYP2D15",19.7794012900266,0.799431215592331,1.70561762237552,0.468704828740521,0.639280634952331,0.996139221459177
"ST13|ST13",1675.92526902397,0.176703532072777,0.261976755177443,0.674500804291173,0.499992974561286,0.996139221459177
"PDGFB|PDGFB",18.5197557381423,-1.50099537956455,1.21147264731659,-1.23898412637649,0.215351376655718,0.996139221459177
"RPL3|RPL3",19194.2596764494,-0.0901385633758741,0.32315350242449,-0.278934199071342,0.780295322640678,0.996139221459177
"EIF3L|EIF3L",2728.65231753244,-0.215076261774264,0.248021410160646,-0.867168127279642,0.385849897018809,0.996139221459177
"MIR1835|MIR1835",11.6990174530742,0.266493885934031,1.01143233373664,0.263481675486382,0.792179345560396,0.996139221459177
"IL2RB|IL2RB",451.19509809198,-1.10722868476435,0.706774497232203,-1.56659399723726,0.117209621845063,0.996139221459177
"MYH9|MYH9",40617.1571268483,-0.367264209317992,0.668565545384143,-0.549331642729166,0.582777875847292,0.996139221459177
"HMOX1|HMOX1",237.031437483153,-0.342499701091778,0.446919059109812,-0.766357339456456,0.443463709096402,0.996139221459177
"TIMP3|TIMP3",45.6395085058647,-1.63176088549694,1.04232382573681,-1.56550281707651,0.117465057367245,0.996139221459177
"TXNRD1|TXNRD1",7328.0065228069,-0.274647640184777,0.322379890099609,-0.851937880182031,0.394248570976362,0.996139221459177
"COX5B|COX5B",903.659530961359,-0.195573328542749,0.344101621721061,-0.568359217735062,0.56979107647075,0.996139221459177
"THADA|THADA",2216.6742368323,0.173385325918913,0.359662398670914,0.482077989135469,0.629750545284574,0.996139221459177
"SLC3A1|SLC3A1",470.445989432047,-0.575039107639486,0.479612387555353,-1.1989663373178,0.230541035207416,0.996139221459177
"STON1|STON1",293.231753848884,0.384189555287048,0.417155679807502,0.920974048499912,0.35706397625018,0.996139221459177
"ASB3|ASB3",4699.23206427951,0.0436470391931828,0.478001482124279,0.0913115143476368,0.927245069085425,0.996139221459177
"COMMD1|COMMD1",1221.43690175569,0.0346849003555615,0.339839111502677,0.102062709033678,0.918706900278291,0.996139221459177
"RAB1A|RAB1A",2152.25501154256,0.0415824585390486,0.279632628697799,0.148703885997464,0.881787294752165,0.996139221459177
"PLEK|PLEK",12998.4714707713,-0.238908648599244,0.353072036852525,-0.676656952867197,0.498623634803638,0.996139221459177
"ANXA4|ANXA4",559.730894048896,0.169904060963907,0.50574806201359,0.335946044533417,0.736911554290266,0.996139221459177
"SNRPG|SNRPG",1264.3570883244,0.437026554465097,0.591649541638827,0.738657809578565,0.460114811045761,0.996139221459177
"LOC606863|LOC606863",769.600983230194,-0.554839774934653,0.660509857596716,-0.840017402546351,0.400898629199892,0.996139221459177
"IFGGC1|IFGGC1",3232.4172488557,-0.521915009062534,0.674121297854294,-0.7742152795406,0.438803494032681,0.996139221459177
"IFGGB2|IFGGB2",3767.23197499295,-0.288579361914826,0.65074302034499,-0.443461324812729,0.65743208745243,0.996139221459177
